kwic_id;doc_id;doc_token_id;doc_file_name;token_count;hit_size;S1;S2;S3;L20;L19;L18;L17;L16;L15;L14;L13;L12;L11;L10;L9;L8;L7;L6;L5;L4;L3;L2;L1;R0;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;Annotation;"Brief vor oder nach ""Brief""";
88;0;537415;random_sample_d_prose_clean_text.txt;1288335;1;20;2;1;Pflichterfüllung ;niemals ;an ;mich ;herangetreten ;ist ;und ;daß ;ich ;sterben ;darf ;ohne ;Progenitur!« 10;Vier ;Wochen ;nach ;Weberleins ;Abreise ;erschien ;ein ;Brief ;von ;ihm ;aus ;Arad. ;Er ;meldete ;darin, ;daß ;es ;ihm ;noch ;nicht ;gelungen ;sei, ;eine ;Spur ;von ;denen, ;die ;Zusammengefasst;;
180;0;921367;random_sample_d_prose_clean_text.txt;1288335;1;20;2;1;abzuholen ;und ;beim ;dortigen ;Gerichte ;die ;Erbansprüche ;von ;Prannes ;geltend ;zu ;machen. ;Aber ;der ;wackere ;Freund ;konnte ;nichts ;"ausrichten; ";ein ;Brief ;von ;ihm ;setzte ;Prannes ;in ;Kenntnis, ;daß ;er ;zwar ;mit ;leeren ;Taschen, ;aber ;mit ;einem ;bildschönen ;und ;braven ;Mädchen ;Zusammengefasst;;
156;0;782034;random_sample_d_prose_clean_text.txt;1288335;1;20;2;1;sich ;ins ;Stadthaus ;hatte ;bringen ;lassen, ;um ;sie ;dort ;nochmals ;zu ;überreden, ;ihn ;zu ;heiraten. ;Denn ;er ;mußte ;heute ;den ;Brief ;von ;ihr ;erhalten ;haben, ;worin ;sie ;ihm ;endgültig ;die ;Verlobung ;absagte. ;Vielleicht ;hatte ;seine ;Wut ;und ;seine ;Ohnmacht ;den ;Zusammengefasst;;
112;0;618167;random_sample_d_prose_clean_text.txt;1288335;1;20;2;1;noch ;im ;Südwesten ;saßen, ;ab. ;Soviel ;vermochte ;das ;Lächeln ;einer ;Griechin, ;die ;der ;Aphrodite ;glich, ;in ;jenen ;beneidenswerten ;Zeiten. ;Ein ;Brief ;von ;ihr ;erreichte ;den ;"Dionys; ";darin ;stand: »;Ich ;habe ;nicht ;nur ;den ;Philoxenos ;gerettet (;denn ;Philoxenos ;ist ;bei ;"mir); ";Brief;danach;
196;0;1122251;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;allem ;war ;das ;Verhalten ;des ;Polen, ;wenn ;auch ;nicht ;gerade ;aufdringlich, ;so ;doch ;merkwürdig. ;Am ;nächsten ;Morgen ;bekam ;Irene ;einen ;Brief ;von ;Julia. ;Die ;Rechtschreibung ;war ;nicht ;einwandfrei, ;aber ;der ;Inhalt ;war ;erheiternd. ;Liebes ;Irenchen! ;Ach, ;was ;bin ;ich ;nachträglich ;Brief;danach;
165;0;829809;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;sie ;dazu ;aufgefordert ;hatte, ;folgende ;Mittheilung ;machte: ;Als ;sie ;Henriette ;heute ;Nachmittag ;zu ;Seine ;Hochwürden ;in';s ;Dorf ;gebracht, ;den ;Brief ;von ;Madame ;la ;Supérieure ;abgegeben, ;und ;das ;Haus ;schon ;wieder ;verlassen, ;hätten ;sich ;mehrere ;Personen ;aus ;dem ;Dorf ;um ;Kontext;;
90;0;537831;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;zu ;verstehen, ;daß ;sie ;sich ;verletzt ;fühle ;und ;gehofft ;habe, ;ihrem ;Vater ;mehr ;zu ;sein. ;Um ;Neujahr ;erhielt ;Schimmelreiter ;einen ;Brief ;von ;Mansuet ;aus ;Klausenberg. ;Dort ;war ;Weberlein ;vier ;Wochen ;lang ;krank ;gelegen, ;hatte ;aber ;trotzdem »;keine ;Minute« ;den ;Zweck ;Kontext;;
120;0;673274;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;Eindruck ;bei. ;Ich ;könnte ;es ;mir ;sehr ;hübsch ;denken, ;solch ;einen ;Bruder ;zu ;haben. ;Den 13.;Juli. ;Eben ;habe ;ich ;einen ;Brief ;von ;Nora ;erhalten ;und ;muß ;zu ;Dir ;eilen, ;geliebte ;Mama, ;um ;Dir ;davon ;zu ;erzählen. ;Ich ;bin ;ganz ;erfüllt ;Objekt;;
154;0;780810;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;sehnsüchtig ;auf ;den ;Ruf ;der ;Verkäuferin ;wartend: ;Tomales ;caliente, ;con ;carne, ;con ;dulce, ;eheee! ;Ich ;sehnte ;mich ;nach ;dem ;letzten ;Brief ;von ;"Orla; ";denn ;morgen ;würde ;sie ;ja ;selbst ;kommen. ;In ;solchen ;Gedanken ;kam ;ich ;bei ;der ;Glorieta ;an, ;wo ;Objekt;;
157;0;795709;random_sample_d_prose_clean_text.txt;1288335;1;20;1;1;sowohl ;als ;ich ;selbst, ;daß ;eine ;schleunige ;Abreise ;mir ;gesundheitlich ;nur ;von ;Vorteil ;sein ;könnte. ;Ich ;fand ;aber ;noch ;einen ;Brief ;von ;Orlas ;Mutter ;vor, ;die ;mich ;bat, ;nach ;Tlalpam ;zu ;kommen: ;sie ;hätte ;eine ;große ;Sehnsucht, ;mit ;mir ;von ;Zusammengefasst;;
